1global_step,seen_tokens,lr,recent_loss,step_ms,tok_s_M,vram_gb,val_ppl,best_val_ppl,saved
1000,51.2M,6.4e-05,8.0413,,,,2950.26,2950.26,1
2000,102M,0.000128,7.1256,,,,1346.42,1346.42,1
3000,154M,0.000192,6.6276,,,,717.95,717.95,1
4000,205M,0.00025,6.1193,,,,470.59,470.59,1
5000,256M,0.00025,5.7030,,,,300.98,300.98,1
6000,307M,0.0002499,5.3936,,,,223.88,223.88,1
7000,358M,0.0002498,5.1823,,,,182.64,182.64,1
8000,410M,0.0002497,5.0272,,,,149.04,149.04,1
9000,461M,0.0002496,4.9237,,,,134.20,134.20,1
10000,512M,0.0002494,4.8373,,,,121.81,121.81,1
11000,563M,0.0002492,4.7625,,,,113.10,113.10,1
12000,614M,0.0002489,4.7101,,,,105.76,105.76,1
13000,666M,0.0002486,4.6614,,,,101.13,105.76,0
14000,717M,0.0002483,4.6193,,,,96.62,96.62,1
15000,768M,0.0002479,4.5885,,,,93.45,93.45,1
16000,819M,0.0002475,4.5514,,,,90.07,90.07,1
17000,870M,0.0002471,4.5326,,,,89.03,89.03,1
18000,922M,0.0002467,4.5052,,,,86.54,89.03,0
19000,973M,0.0002462,4.4827,,,,84.40,84.40,1
20000,1.02B,0.0002457,4.4777,,,,82.71,82.71,1
21000,1.08B,0.0002451,4.4477,,,,81.21,81.21,1
22000,1.13B,0.0002445,4.4359,,,,80.30,80.30,1
23000,1.18B,0.0002439,4.4288,,,,78.68,78.68,1
24000,1.23B,0.0002433,4.4079,,,,78.51,78.51,1
25000,1.28B,0.0002426,4.3989,,,,76.42,76.42,1
26000,1.33B,0.0002419,4.3860,,,,76.62,76.42,0
27000,1.38B,0.0002411,4.3840,,,,75.11,75.11,1
28000,1.43B,0.0002404,4.3695,,,,74.39,74.39,1
29000,1.48B,0.0002395,4.3575,,,,73.66,73.66,1
30000,1.54B,0.0002387,4.3477,,,,73.44,73.44,1
31000,1.59B,0.0002378,4.3355,,,,72.71,72.71,1
32000,1.64B,0.0002369,4.3316,,,,71.97,71.97,1
