global_step,seen_tokens,lr,recent_loss,val_ppl,best_val_ppl,patience_count
1000,48M,6.001e-05,8.0651,3172.30,3172.30,0
2000,96M,0.00012,7.2342,1384.33,1384.33,0
3000,144M,0.00018,6.7880,895.53,895.53,0
4000,192M,0.00024,6.2094,501.69,501.69,0
5000,240M,0.00025,5.8570,347.66,347.66,0
6000,288M,0.00025,5.4980,244.55,244.55,0
7000,336M,0.0002499,5.2911,199.21,199.21,0
8000,384M,0.0002498,5.0555,156.37,156.37,0
9000,432M,0.0002497,4.9326,139.34,139.34,0
10000,480M,0.0002495,4.8356,126.37,126.37,0
11000,528M,0.0002493,4.7682,118.82,118.82,0
12000,576M,0.0002491,4.6974,110.08,110.08,0
13000,624M,0.0002488,4.6398,103.50,103.50,0
14000,672M,0.0002486,4.6006,99.69,99.69,0
15000,720M,0.0002483,4.5728,96.97,96.97,0
