global_step,seen_tokens,lr,recent_loss,val_ppl,best_val_ppl,patience_count
100,819k,2.049e-05,3.8666,52.81,52.81,0
200,1.64M,4.098e-05,3.5441,49.12,49.12,0
300,2.46M,5e-05,3.2459,50.00,49.12,1
400,3.28M,4.998e-05,3.6486,86.71,49.12,2
500,4.1M,4.994e-05,3.3765,86.21,49.12,3
600,4.92M,4.989e-05,2.5144,56.21,49.12,4
700,5.73M,4.982e-05,2.3300,60.17,49.12,5
800,6.55M,4.973e-05,2.0228,59.16,49.12,6
900,7.37M,4.963e-05,1.8228,61.95,49.12,7
1000,8.19M,4.951e-05,1.6972,69.62,49.12,8
1100,9.01M,4.937e-05,1.4900,69.43,49.12,9
1200,9.83M,4.922e-05,1.4449,77.14,49.12,10
