global_step,seen_tokens,lr,recent_loss,val_ppl,best_val_ppl,patience_count
20,960k,9.868e-05,2.8800,19.11,19.11,0
40,1.92M,9.298e-05,2.7533,17.86,17.86,0
60,2.88M,8.327e-05,2.6661,17.32,17.32,0
80,3.84M,7.045e-05,2.5987,16.84,16.84,0
100,4.8M,5.573e-05,2.5518,16.53,16.53,0
120,5.76M,4.048e-05,2.5104,16.39,16.39,0
140,6.72M,2.611e-05,2.4821,16.18,16.18,0
160,7.68M,1.397e-05,2.4658,15.97,15.97,0
180,8.64M,5.192e-06,2.4510,15.95,15.95,0
200,9.6M,5.86e-07,2.4520,15.94,15.94,0
209,10M,5.871e-09,2.4521,15.96,15.94,0
