global_step,seen_tokens,lr,recent_loss,step_ms,tok_s_M,vram_gb,val_ppl,best_val_ppl,saved_best,saved_last
500,24M,0.00025,7.6533,293.8,0.163,33.6,1790.39,1790.39,1,1
1000,48M,0.0002495,6.8385,292.7,0.164,33.6,1078.31,1078.31,1,1
1500,72M,0.0002483,6.4628,294.0,0.163,33.6,625.58,625.58,1,1
2000,96M,0.0002463,6.1939,293.5,0.164,33.6,483.23,483.23,1,1
2500,120M,0.0002436,5.8807,293.4,0.164,33.6,370.90,370.90,1,1
3000,144M,0.0002403,5.6691,292.4,0.164,33.6,333.99,333.99,1,1
3500,168M,0.0002362,5.4585,294.1,0.163,33.6,274.35,274.35,1,1
4000,192M,0.0002315,5.2864,293.9,0.163,33.6,227.52,274.35,0,0
4500,216M,0.0002261,5.1290,293.2,0.164,33.6,188.30,188.30,1,1
5000,240M,0.0002202,4.9760,293.9,0.163,33.6,172.08,172.08,1,1
5500,264M,0.0002137,4.8646,292.9,0.164,33.6,146.83,146.83,1,1
6000,288M,0.0002066,4.7377,292.4,0.164,33.6,128.22,146.83,0,0
6500,312M,0.0001991,4.6584,292.4,0.164,33.6,116.98,116.98,1,1
7000,336M,0.0001912,4.5589,293.0,0.164,33.6,107.76,107.76,1,1
7500,360M,0.0001828,4.4900,293.4,0.164,33.6,102.63,102.63,1,1
8000,384M,0.0001741,4.4198,291.6,0.165,33.6,94.18,94.18,1,1
8500,408M,0.0001652,4.3649,292.8,0.164,33.6,90.52,90.52,1,1
9000,432M,0.0001559,4.3094,292.6,0.164,33.6,84.98,84.98,1,1
9500,456M,0.0001465,4.2658,293.4,0.164,33.6,80.63,80.63,1,1
10000,480M,0.000137,4.2218,293.4,0.164,33.6,76.89,76.89,1,1
10500,504M,0.0001274,4.1997,292.5,0.164,33.6,75.31,75.31,1,1
11000,528M,0.0001178,4.1565,294.1,0.163,33.6,72.77,72.77,1,1
11500,552M,0.0001082,4.1176,292.6,0.164,33.6,70.88,70.88,1,1
12000,576M,9.877e-05,4.0988,294.1,0.163,33.6,67.68,67.68,1,1
12500,600M,8.945e-05,4.0762,294.2,0.163,33.6,67.56,67.56,1,1
13000,624M,8.035e-05,4.0399,293.8,0.163,33.6,66.45,66.45,1,1
13500,648M,7.151e-05,4.0204,293.3,0.164,33.6,64.59,64.59,1,1
14000,672M,6.298e-05,4.0018,293.3,0.164,33.6,63.02,63.02,1,1
14500,696M,5.483e-05,3.9844,294.0,0.163,33.6,62.47,62.47,1,1
15000,720M,4.708e-05,3.9653,292.9,0.164,33.6,61.39,61.39,1,1
15500,744M,3.98e-05,3.9612,293.2,0.164,33.6,60.68,60.68,1,1
16000,768M,3.302e-05,3.9450,294.9,0.163,33.6,59.86,59.86,1,1
16500,792M,2.679e-05,3.9352,293.9,0.163,33.6,59.00,59.00,1,1
17000,816M,2.114e-05,3.9231,293.5,0.164,33.6,58.66,58.66,1,1
17500,840M,1.61e-05,3.9100,292.9,0.164,33.6,57.72,57.72,1,1
18000,864M,1.17e-05,3.8978,293.2,0.164,33.6,58.02,57.72,0,1
18500,888M,7.981e-06,3.9045,293.6,0.163,33.6,57.56,57.56,1,1
19000,912M,4.949e-06,3.9047,292.7,0.164,33.6,57.54,57.54,1,1
19500,936M,2.628e-06,3.8979,294.1,0.163,33.6,57.57,57.54,0,1
20000,960M,1.03e-06,3.8959,293.3,0.164,33.6,57.34,57.34,1,1
20500,984M,1.66e-07,3.8970,293.3,0.164,33.6,57.10,57.10,1,1
20834,1B,1.48e-12,3.8989,294.3,0.163,33.6,57.43,57.10,0,1
