global_step,seen_tokens,lr,recent_loss,val_ppl,best_val_ppl,saved
250,12M,0.0001502,8.0387,3041.79,3041.79,1
500,24M,0.00025,7.5267,1620.00,1620.00,1
750,36M,0.0002498,7.0455,1093.67,1093.67,1
1000,48M,0.0002495,6.7121,947.57,947.57,1
1250,60M,0.000249,6.5100,687.33,687.33,1
1500,72M,0.0002483,6.3419,546.29,546.29,1
1750,84M,0.0002474,6.1903,492.05,492.05,1
2000,96M,0.0002463,6.0209,434.46,434.46,1
2250,108M,0.0002451,5.8979,370.31,370.31,1
2500,120M,0.0002436,5.7680,340.30,340.30,1
2750,132M,0.000242,5.6527,322.97,322.97,1
3000,144M,0.0002403,5.5858,273.92,273.92,1
