global_step,seen_tokens,lr,recent_loss,step_ms,tok_s_M,vram_gb,val_ppl,best_val_ppl,saved
1000,51.2M,0.000128,7.3214,,,,1455.09,1455.09,1
2000,102M,0.00025,6.1672,,,,478.93,478.93,1
3000,154M,0.0002499,5.5415,,,,250.04,250.04,1
4000,205M,0.0002497,5.0979,,,,168.06,168.06,1
5000,256M,0.0002494,4.7636,,,,124.80,124.80,1
6000,307M,0.0002489,4.5415,,,,101.93,101.93,1
7000,358M,0.0002483,4.3718,,,,88.34,88.34,1
8000,410M,0.0002475,4.2585,,,,77.59,77.59,1
9000,461M,0.0002467,4.1643,,,,72.10,72.10,1
10000,512M,0.0002457,4.0813,,,,66.83,66.83,1
11000,563M,0.0002445,4.0212,,,,64.11,64.11,1
12000,614M,0.0002433,3.9646,,,,61.58,61.58,1
13000,666M,0.0002419,3.9257,,,,59.59,59.59,1
14000,717M,0.0002404,3.8839,,,,57.86,57.86,1
15000,768M,0.0002387,3.8514,,,,55.99,55.99,1
16000,819M,0.0002369,3.8173,,,,54.70,54.70,1
17000,870M,0.0002351,3.7896,,,,53.90,53.90,1
18000,922M,0.0002331,3.7708,,,,53.03,53.03,1
19000,973M,0.0002309,3.7441,,,,52.78,52.78,1
20000,1.02B,0.0002287,3.7261,,,,51.71,51.71,1
21000,1.08B,0.0002264,3.7077,,,,51.31,51.31,1
22000,1.13B,0.0002239,3.6893,,,,51.01,51.01,1
23000,1.18B,0.0002213,3.6679,,,,50.31,50.31,1
24000,1.23B,0.0002187,3.6499,,,,50.04,50.04,1
25000,1.28B,0.0002159,3.6478,,,,49.02,49.02,1
26000,1.33B,0.000213,3.6273,,,,49.38,49.02,0
27000,1.38B,0.0002101,3.6165,,,,48.95,48.95,1
28000,1.43B,0.000207,3.6092,,,,48.30,48.30,1
29000,1.48B,0.0002039,3.5967,,,,48.20,48.20,1
30000,1.54B,0.0002007,3.5771,,,,47.67,47.67,1
31000,1.59B,0.0001974,3.5661,,,,47.65,47.65,1
32000,1.64B,0.000194,3.5626,,,,47.57,47.57,1
33000,1.69B,0.0001905,3.5584,,,,47.22,47.22,1
34000,1.74B,0.000187,3.5445,,,,47.12,47.12,1
35000,1.79B,0.0001834,3.5348,,,,46.80,46.80,1
36000,1.84B,0.0001797,3.5188,,,,46.46,46.46,1
37000,1.89B,0.000176,3.5107,,,,46.31,46.31,1
38000,1.95B,0.0001722,3.5001,,,,46.06,46.06,1
39000,2B,0.0001684,3.5049,,,,46.08,46.06,0
40000,2.05B,0.0001645,3.4867,,,,45.79,45.79,1
41000,2.1B,0.0001606,3.4833,,,,45.67,45.67,1
42000,2.15B,0.0001567,3.4731,,,,45.57,45.57,1
43000,2.2B,0.0001527,3.4662,,,,44.79,44.79,1
44000,2.25B,0.0001487,3.4592,,,,45.05,44.79,0
45000,2.3B,0.0001446,3.4513,,,,45.10,44.79,0
46000,2.36B,0.0001406,3.4468,,,,44.78,44.78,1
47000,2.41B,0.0001365,3.4486,,,,44.55,44.55,1
48000,2.46B,0.0001324,3.4392,,,,44.51,44.51,1
49000,2.51B,0.0001283,3.4229,,,,44.41,44.41,1
50000,2.56B,0.0001242,3.4077,,,,44.24,44.24,1
51000,2.61B,0.0001201,3.4090,,,,44.49,44.24,0
52000,2.66B,0.000116,3.4066,,,,44.15,44.15,1
53000,2.71B,0.0001119,3.4010,,,,43.97,43.97,1
54000,2.76B,0.0001078,3.3827,,,,43.59,43.59,1
55000,2.82B,0.0001038,3.3795,,,,43.15,43.15,1
56000,2.87B,9.976e-05,3.3755,,,,43.33,43.15,0
57000,2.92B,9.575e-05,3.3690,,,,43.33,43.15,0
58000,2.97B,9.178e-05,3.3652,,,,42.93,42.93,1
59000,3.02B,8.784e-05,3.3608,,,,43.21,42.93,0
60000,3.07B,8.395e-05,3.3504,,,,43.05,42.93,0
61000,3.12B,8.009e-05,3.3473,,,,42.93,42.93,1
